T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
24.44,0.05,1.25,94.65,87.31,161.45,19.23,0.36,1.75,180.2
26.33,0.06,0.58,94.68,76.94,243.85,30.5,0.83,4.42,286.98
27.69,0.09,0.36,94.65,69.5,321.45,41.3,1.38,6.75,374.23
28.44,0.11,0.51,94.59,65.56,331.02,43.42,1.59,8.27,425.77
28.85,0.13,0.53,94.52,63.12,340.9,44.68,1.66,9.05,438.02
28.96,0.12,0.48,94.46,61.88,294.27,38.28,1.38,7.02,410.95
28.73,0.13,0.5,94.4,62.75,257.23,33.23,1.07,5.4,356.83
28.15,0.12,0.68,94.39,65.88,157.35,20.6,0.55,2.9,267.42
27.4,0.13,0.67,94.4,72.62,44.12,5.9,0.1,0.52,158.15
26.35,0.13,0.6,94.45,78.94,8.83,1.17,0.01,0.02,53.52
22.86,0.03,1.88,94.66,93.69,45.5,5.61,0.05,0.23,63.25
24.06,0.04,2.12,94.72,85.69,109.75,13.77,0.27,1.3,169.92
25.99,0.04,1.8,94.74,74.81,174.52,22.55,0.61,3.17,278.73
27.53,0.06,1.2,94.72,67.56,254.58,33.41,1.08,5.45,365.35
28.73,0.06,0.66,94.65,61.88,366.75,47.57,1.67,8.95,419.15
29.73,0.07,0.19,94.55,57.0,434.05,57.99,2.11,11.62,452.83
30.23,0.08,0.19,94.45,54.06,402.52,53.47,1.87,10.05,429.98
30.18,0.09,0.42,94.37,53.5,323.3,41.95,1.31,6.77,371.02
29.81,0.08,0.55,94.32,54.62,248.98,31.02,0.77,3.9,280.88
28.9,0.08,0.68,94.31,59.75,147.67,17.36,0.29,1.4,169.38
27.83,0.06,0.8,94.34,67.06,52.08,6.0,0.03,0.17,58.55
23.38,0.02,1.0,94.51,89.12,62.15,7.37,0.06,0.3,70.83
25.9,0.03,0.82,94.53,75.38,155.75,18.76,0.35,1.73,178.85
28.05,0.03,0.44,94.54,65.31,263.98,32.62,0.86,4.5,285.7
29.3,0.03,0.16,94.52,60.31,367.62,46.84,1.48,7.75,373.0
29.95,0.03,0.68,94.45,57.44,424.45,55.48,1.94,10.6,426.58
30.1,0.03,0.99,94.34,56.31,441.08,58.11,2.09,11.58,443.67
29.98,0.03,1.17,94.24,56.31,382.9,50.12,1.75,9.33,421.38
29.73,0.03,1.24,94.17,57.38,294.7,38.52,1.21,6.2,362.73
29.4,0.02,1.19,94.14,58.75,224.12,28.03,0.71,3.62,273.1
28.69,0.02,1.09,94.15,62.38,117.77,14.7,0.26,1.25,162.55
27.3,0.02,0.94,94.19,72.38,42.05,5.16,0.03,0.15,56.23
22.73,0.02,2.12,94.48,90.19,48.83,6.1,0.05,0.25,73.35
23.82,0.02,2.18,94.53,83.31,121.2,15.06,0.28,1.4,182.5
25.08,0.03,2.05,94.55,76.88,197.05,25.51,0.7,3.67,291.5
26.25,0.03,1.92,94.51,72.19,266.98,35.34,1.16,5.7,376.0
27.21,0.03,1.75,94.43,68.75,311.08,41.48,1.49,7.75,428.83
27.88,0.04,1.6,94.33,66.38,352.67,46.97,1.74,9.4,448.25
27.89,0.04,1.5,94.24,66.0,337.38,45.16,1.59,8.3,424.62
28.01,0.04,1.42,94.17,65.56,306.77,39.65,1.23,6.35,364.4
27.69,0.04,1.26,94.12,67.06,251.42,31.2,0.77,3.88,275.75
26.9,0.03,1.04,94.11,72.25,150.75,17.7,0.29,1.42,166.08
25.67,0.03,0.73,94.13,82.0,54.58,6.34,0.04,0.17,57.08
23.05,0.01,0.69,94.32,93.56,45.45,5.62,0.05,0.25,74.35
24.37,0.02,0.58,94.35,87.75,124.23,15.41,0.3,1.45,183.92
26.34,0.03,0.3,94.36,76.25,201.45,25.95,0.7,3.67,291.05
28.56,0.03,1.1,94.33,65.06,252.38,33.52,1.11,5.48,377.23
29.9,0.04,1.45,94.25,59.38,299.85,40.31,1.46,7.6,428.65
30.72,0.05,1.62,94.15,56.12,337.58,43.84,1.59,8.62,428.4
31.19,0.05,1.67,94.06,54.06,341.35,43.68,1.52,8.0,404.33
31.05,0.05,1.59,94.0,54.06,282.33,35.62,1.09,5.65,344.23
30.72,0.04,1.44,93.97,55.38,221.73,26.98,0.66,3.38,257.98
30.21,0.03,0.96,93.98,59.75,116.1,13.75,0.23,1.12,152.62
29.15,0.02,0.68,94.02,67.38,32.6,4.04,0.02,0.12,52.45
24.04,0.05,1.38,94.39,90.12,45.55,5.66,0.05,0.25,67.25
26.16,0.06,1.51,94.44,77.69,116.6,14.58,0.28,1.4,168.5
28.09,0.07,1.55,94.45,64.62,202.02,25.59,0.7,3.7,273.27
